0, 18-04-2020 18:43:21, Hardware monitoring log v1.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,
1, 18-04-2020 18:43:21, GeForce GTX 960M,Intel(R) HD Graphics 530,,,,,,,,,,,,,,,,,,,,,,,,,
2, 18-04-2020 18:43:21, GPU1 temperature    ,GPU1 usage          ,GPU1 memory usage   ,GPU1 core clock     ,GPU1 memory clock   ,CPU temperature     ,CPU usage           ,CPU clock           ,RAM usage           ,Framerate           ,Frametime           ,,,,,,,,,,,,,,,,
3, 18-04-2020 18:43:21,0,°C                  ,0,100,10,                    ,                    ,,,,,,,,,,,,,,,,,,,,
3, 18-04-2020 18:43:21,1,%                   ,0,100,10,                    ,                    ,,,,,,,,,,,,,,,,,,,,
3, 18-04-2020 18:43:21,2,MB                  ,0,8192,10,                    ,                    ,,,,,,,,,,,,,,,,,,,,
3, 18-04-2020 18:43:21,3,MHz                 ,0,2500,10,                    ,                    ,,,,,,,,,,,,,,,,,,,,
3, 18-04-2020 18:43:21,4,MHz                 ,0,7500,10,                    ,                    ,,,,,,,,,,,,,,,,,,,,
3, 18-04-2020 18:43:21,5,°C                  ,0,100,10,                    ,                    ,,,,,,,,,,,,,,,,,,,,
3, 18-04-2020 18:43:21,6,%                   ,0,100,10,                    ,                    ,,,,,,,,,,,,,,,,,,,,
3, 18-04-2020 18:43:21,7,MHz                 ,0,5000,10,                    ,                    ,,,,,,,,,,,,,,,,,,,,
3, 18-04-2020 18:43:21,8,MB                  ,0,16384,10,                    ,                    ,,,,,,,,,,,,,,,,,,,,
3, 18-04-2020 18:43:21,9,FPS                 ,0,200,10,                    ,                    ,,,,,,,,,,,,,,,,,,,,
3, 18-04-2020 18:43:21,10,ms                  ,0,50,10,                    ,                    ,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 18:43:21,40,0,37.938,135,405,43,4.745,897.229,3338,N/A                 ,0,,,,,,,,,,,,,,,,
80, 18-04-2020 18:43:22,40,0,37.938,135,405,43,6.957,2990.765,3337,N/A                 ,0,,,,,,,,,,,,,,,,
80, 18-04-2020 18:43:23,0,0,37.938,405,405,43,11.127,897.229,3359,N/A                 ,0,,,3.17,,,,,,,,,,,,,
80, 18-04-2020 18:43:24,41,31,80.816,1097.138,2505.6,53,25.595,3190.149,3422,359.9,120.771,,,43.69,,12,1,,,,,,,,,,
80, 18-04-2020 18:43:25,41,0,80.816,1097.138,2505.6,44,24.066,3090.457,3418,483.7,5.144,,,43.69,,24,2,,,,,,,,,,
80, 18-04-2020 18:43:26,41,0,80.816,1097.138,2505.6,44,7.617,897.229,3417,483.7,0,,,43.69,,36,3,,,,,,,,,,
80, 18-04-2020 18:43:27,41,43,80.816,888.31,800,46,7.617,897.229,3418,76.9,1893.841,,,44.2,,48,4,,,,,,,,,,
80, 18-04-2020 18:43:28,41,42,80.816,888.31,800,48,18.75,3190.146,3419,452.7,6.293,,,44.2,,60,5,,,,,,,,,,
80, 18-04-2020 18:43:29,41,43,80.816,888.31,800,46,15.647,3190.151,3418,462.5,5.254,,,44.25,,72,6,,,,,,,,,,
80, 18-04-2020 18:43:30,41,44,80.816,888.31,800,49,16.016,3190.151,3417,454.6,5.294,,,43.64,,84,7,,,,,,,,,,
80, 18-04-2020 18:43:31,41,41,80.816,888.31,800,50,18.876,3289.842,3419,441.5,5.112,,,44.15,,96,8,,,,,,,,,,
80, 18-04-2020 18:43:32,41,43,80.816,888.31,800,48,16.039,3289.841,3426,444.1,5.689,,,44.15,,108,9,,,,,,,,,,
80, 18-04-2020 18:43:33,41,44,80.816,888.31,800,53,16.602,3289.841,3429,482.1,5.423,,,44.2,,120,10,,,,,,,,,,
80, 18-04-2020 18:43:34,41,47,80.816,888.31,800,48,12.5,3289.841,3428,483.8,5.618,,,41.71,,132,11,,,,,,,,,,
80, 18-04-2020 18:43:35,41,36,80.816,135,405,46,21.76,3090.457,3418,439.8,7.012,,,41.71,,144,12,,,,,,,,,,
80, 18-04-2020 18:43:36,42,35,80.816,1097.138,2505.6,49,22.266,897.229,3418,273.8,436.966,,,41.77,,156,13,,,,,,,,,,
80, 18-04-2020 18:43:37,42,34,80.816,1097.138,2505.6,49,24.219,3190.148,3418,486.8,6.221,,,41.79,,168,14,,,,,,,,,,
80, 18-04-2020 18:43:38,42,33,80.816,1097.138,2505.6,48,22.852,3190.148,3419,519.1,4.792,,,41.81,,180,15,,,,,,,,,,
80, 18-04-2020 18:43:39,42,32,80.816,1097.138,2505.6,52,26.172,3190.148,3419,420.6,8.009,,,41.81,,192,16,,,,,,,,,,
80, 18-04-2020 18:43:40,42,37,80.816,1097.138,2505.6,52,21.484,3289.841,3419,493.1,5.67,,,41.86,,204,17,,,,,,,,,,
80, 18-04-2020 18:43:41,42,0,80.816,135,405,46,13.672,3190.149,3421,484.8,64.829,,,41.86,,216,18,,,,,,,,,,
