00, 02-05-2020 19:40:55, Hardware monitoring log v1.5 
01, 02-05-2020 19:40:55, GeForce RTX 2070,Intel(R) HD Graphics 630
02, 02-05-2020 19:40:55, GPU1 usage          ,GPU1 memory usage   ,CPU usage           ,CPU clock           ,RAM usage           ,Framerate           ,Frametime           
03, 02-05-2020 19:40:55, 0                   ,%                   ,0.000               ,100.000             ,10                  ,                    ,                    
03, 02-05-2020 19:40:55, 1                   ,MB                  ,0.000               ,8192.000            ,10                  ,                    ,                    
03, 02-05-2020 19:40:55, 2                   ,%                   ,0.000               ,100.000             ,10                  ,                    ,                    
03, 02-05-2020 19:40:55, 3                   ,MHz                 ,0.000               ,5000.000            ,10                  ,                    ,                    
03, 02-05-2020 19:40:55, 4                   ,MB                  ,0.000               ,16384.000           ,10                  ,                    ,                    
03, 02-05-2020 19:40:55, 5                   ,FPS                 ,0.000               ,200.000             ,10                  ,                    ,                    
03, 02-05-2020 19:40:55, 6                   ,ms                  ,0.000               ,50.000              ,10                  ,                    ,                    
80, 02-05-2020 19:40:55, 0.000               ,567.715             ,31.641              ,4191.158            ,4762.000            ,N/A                 ,0.000               
80, 02-05-2020 19:40:56, 1.000               ,568.527             ,36.328              ,4191.158            ,4762.000            ,N/A                 ,0.000               
80, 02-05-2020 19:40:57, 1.000               ,568.402             ,28.906              ,4191.158            ,4763.000            ,N/A                 ,0.000               
80, 02-05-2020 19:40:58, 1.000               ,568.402             ,15.234              ,2993.684            ,4763.000            ,N/A                 ,0.000               
80, 02-05-2020 19:40:59, 1.000               ,568.402             ,7.031               ,2694.316            ,4763.000            ,N/A                 ,0.000               
80, 02-05-2020 19:41:00, 0.000               ,568.402             ,9.375               ,4191.159            ,4763.000            ,N/A                 ,0.000               
80, 02-05-2020 19:41:01, 1.000               ,567.590             ,13.281              ,2394.947            ,4763.000            ,N/A                 ,0.000               
80, 02-05-2020 19:41:02, 1.000               ,567.590             ,6.641               ,2993.684            ,4763.000            ,N/A                 ,0.000               
80, 02-05-2020 19:41:03, 1.000               ,567.590             ,4.688               ,4191.158            ,4763.000            ,N/A                 ,0.000               
80, 02-05-2020 19:41:04, 0.000               ,567.590             ,3.125               ,2095.579            ,4762.000            ,N/A                 ,0.000               
80, 02-05-2020 19:41:05, 0.000               ,570.090             ,12.500              ,2694.316            ,4773.000            ,N/A                 ,0.000               
80, 02-05-2020 19:41:06, 1.000               ,609.500             ,49.609              ,4191.159            ,4832.000            ,5029.900            ,64.495              
80, 02-05-2020 19:41:07, 32.000              ,609.500             ,48.828              ,4191.159            ,4830.000            ,4446.400            ,0.908               
80, 02-05-2020 19:41:08, 35.000              ,609.500             ,67.188              ,4191.159            ,4863.000            ,3476.200            ,1.920               
80, 02-05-2020 19:41:09, 30.000              ,609.500             ,65.234              ,4191.158            ,4879.000            ,4256.900            ,3.481               
80, 02-05-2020 19:41:10, 32.000              ,610.688             ,55.469              ,4191.159            ,4880.000            ,3358.600            ,1.551               
80, 02-05-2020 19:41:11, 29.000              ,610.563             ,43.359              ,4191.159            ,4908.000            ,3916.100            ,0.839               
80, 02-05-2020 19:41:12, 32.000              ,610.563             ,61.719              ,4191.159            ,4905.000            ,3373.800            ,3.917               
80, 02-05-2020 19:41:13, 28.000              ,610.563             ,65.234              ,4191.158            ,4905.000            ,3358.800            ,0.882               
80, 02-05-2020 19:41:14, 28.000              ,610.563             ,65.234              ,4191.158            ,4905.000            ,3155.100            ,1.150               
80, 02-05-2020 19:41:15, 27.000              ,610.563             ,62.891              ,4191.159            ,4906.000            ,3089.500            ,0.903               
80, 02-05-2020 19:41:16, 26.000              ,610.563             ,64.844              ,4191.159            ,4906.000            ,2947.600            ,0.852               
80, 02-05-2020 19:41:17, 26.000              ,610.563             ,64.453              ,4191.158            ,4906.000            ,2833.600            ,1.030               
80, 02-05-2020 19:41:18, 25.000              ,610.563             ,63.672              ,4191.158            ,4906.000            ,2774.600            ,1.091               
