0, 18-04-2020 17:08:48,V lang,,,,,C lang,,,,,GO lang,,,,,Rust,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, 18-04-2020 17:08:48,Intel(R) HD Graphics 530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2, 18-04-2020 17:08:48,GPU1 usage          ,CPU usage           ,Framerate           ,RAM usage,,GPU1 usage          ,CPU usage           ,Framerate           ,RAM usage,,GPU1 usage          ,CPU usage           ,Framerate           ,RAM usage,,GPU1 usage          ,CPU usage           ,Framerate           ,RAM usage,,,,,,,,,,,,,,,,,,,,,,,,,
3, 18-04-2020 17:08:48,°C                  ,                    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3, 18-04-2020 17:08:48,%                   ,                    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3, 18-04-2020 17:08:48,MB                  ,                    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3, 18-04-2020 17:08:48,MHz                 ,                    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3, 18-04-2020 17:08:48,MHz                 ,                    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3, 18-04-2020 17:08:48,°C                  ,                    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3, 18-04-2020 17:08:48,%                   ,                    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3, 18-04-2020 17:08:48,MHz                 ,                    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3, 18-04-2020 17:08:48,MB                  ,                    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3, 18-04-2020 17:08:48,FPS                 ,                    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3, 18-04-2020 17:08:48,ms                  ,                    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:08:48,0,2.25,N/A                 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:08:49,0,10.806,N/A                 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:08:50,0,3.797,N/A                 ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:08:51,0,13.067,0,43.38,,31,25.595,359.9,43.69,,0,16.382,391.2,10.97,,40,18.75,334.8,39.16,,12,1,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:08:52,31,29.641,410.9,43.38,,0,24.066,483.7,43.69,,26,33.008,391.2,45.38,,31,22.266,296.9,35.3,,24,2,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:08:53,29,27.954,548.9,43.47,,0,7.617,483.7,43.69,,27,21.289,515.7,45.38,,39,19.531,325.4,35.29,,36,3,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:08:54,38,30.078,516.5,43.47,,43,7.617,76.9,44.2,,36,21.094,501.5,45.58,,40,19.922,353.4,35.29,,48,4,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:08:55,38,29.492,483.1,43.5,,42,18.75,452.7,44.2,,36,20.703,463.4,45.8,,38,20.703,329,35.29,,60,5,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:08:56,0,17.188,477.4,43.55,,43,15.647,462.5,44.25,,37,21.289,464,46.12,,33,26.758,296.3,35.29,,72,6,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:08:57,0,5.664,0.6,43.36,,44,16.016,454.6,43.64,,37,23.828,460.2,46.12,,40,22.852,308.8,35.29,,84,7,,,,,,,,,,,,,,,,,,,,,,
