0, 18-04-2020 17:08:48,V lang,,,,,C lang,,,,,GO lang,,,,,Rust,,,,,,,,,,,,,,,,,,,,,,
1, 18-04-2020 17:08:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2, 18-04-2020 17:08:48,GPU1 usage          ,CPU usage           ,Framerate           ,RAM usage,,GPU1 usage          ,CPU usage           ,Framerate           ,RAM usage,,GPU1 usage          ,CPU usage           ,Framerate           ,RAM usage,,GPU1 usage          ,CPU usage           ,Framerate           ,RAM usage,,,,,,,,,,,,,,,,,,,
3, 18-04-2020 17:08:48,°C                  ,                    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ke1,Ke2,Ke3,Ke4,Ke5,
3, 18-04-2020 17:08:48,%                   ,                    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Svars,0.07,0.23,0.23,0.23,0.23,
3, 18-04-2020 17:08:48,MB                  ,                    ,,,,,,,,,,,,,,,,,,,,,,,Valoda,Kompil?cijas laiks (sek.),Kadru ?trums (freims/sek.),Centr?la procesora izmantošana (%),Grafiska procesora izmantošana (%),Operat?va atmi?a (MB),,Valoda,Kompil?cijas laiks (sek.),Kadru ?trums (freims/sek.),Centr?la procesora izmantošana (%),Grafiska procesora izmantošana (%),Operat?va atmi?a (MB),
3, 18-04-2020 17:08:48,MHz                 ,                    ,,,,,,,,,,,,,,,,,,,,,,,C,0.66,472.44,28.63,36.83,43.45,,C,1,0.92,1.00,0.14,0.94,0.23
3, 18-04-2020 17:08:48,MHz                 ,                    ,,,,,,,,,,,,,,,,,,,,,,,V,0.75,502.50,29.27,32.13,227.52,,V,0.4,1.00,0.76,0.21,0.00,0.51
3, 18-04-2020 17:08:48,°C                  ,                    ,,,,,,,,,,,,,,,,,,,,,,,GO,0.81,436.68,29.68,38.83,42.08,,GO,0,0.83,1.00,0.33,0.98,0.27
3, 18-04-2020 17:08:48,%                   ,                    ,,,,,,,,,,,,,,,,,,,,,,,Rust,0.69,116.55,31.21,24.28,31.39,,Rust,0.8,0.00,0.33,1.00,1.00,0.40
3, 18-04-2020 17:08:48,MHz                 ,                    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,? min,? max,? min,? min,? min,
3, 18-04-2020 17:08:48,MB                  ,                    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3, 18-04-2020 17:08:48,FPS                 ,                    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3, 18-04-2020 17:08:48,ms                  ,                    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:08:48,0,2.25,N/A                 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:08:49,0,10.806,N/A                 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:08:50,0,3.797,N/A                 ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:08:51,64,39.66,2691.1,11.35,,10,22.656,0,11.36,,8,34.766,34.3,42.03,,36,67.969,2898.4,9.34,,12,1,,,,,,,,,,,,,,,,
80, 18-04-2020 17:08:52,66,47.712,3774.5,41.8,,82,61.328,3000.7,40.75,,68,42.969,3994.2,42.77,,29,62.109,2462.7,33.07,,24,2,,,,,,,,,,,,,,,,
80, 18-04-2020 17:08:53,1,36.719,3678.5,41.26,,83,37.891,2994.2,40.76,,65,39.453,3935,43.43,,23,60.739,1968.4,33.07,,36,3,,,,,,,,,,,,,,,,
80, 18-04-2020 17:08:54,62,37.109,3458.4,40.87,,83,32.031,2998.2,40.76,,64,41.797,3642.4,43.1,,24,58.594,1696.9,33.14,,48,4,,,,,,,,,,,,,,,,
80, 18-04-2020 17:08:55,58,41.797,3183.8,40.87,,14,20.703,1088.7,40.26,,61,37.109,3448.6,43.47,,22,55.469,1503.2,33.14,,60,5,,,,,,,,,,,,,,,,
80, 18-04-2020 17:08:56,47,66.797,2888.4,40.92,,82,27.734,3014.9,40.35,,61,35.938,3043.2,43.47,,39,55.078,1313.4,33.16,,72,6,,,,,,,,,,,,,,,,
80, 18-04-2020 17:08:57,57,32.422,3066.8,37.44,,81,40.234,2994.4,36.87,,57,38.281,3036,39.96,,37,52.734,1172.6,33.16,,84,7,,,,,,,,,,,,,,,,
80, 18-04-2020 17:08:58,56,32.031,3028.9,37.5,,80,45.313,2905.7,36.87,,53,39.063,2786.2,40.09,,35,53.516,1057.3,29.64,,96,8,,,,,,,,,,,,,,,,
