0, 18-04-2020 18:19:43, Hardware monitoring log v1.5 ,,,,,,,,,,,,,,,,,,,,,,,,
1, 18-04-2020 18:19:43, GeForce GTX 960M,Intel(R) HD Graphics 530,,,,,,,,,,,,,,,,,,,,,,,
2, 18-04-2020 18:19:43, GPU1 temperature    ,GPU1 usage          ,GPU1 memory usage   ,GPU1 core clock     ,GPU1 memory clock   ,CPU temperature     ,CPU usage           ,CPU clock           ,RAM usage           ,Framerate           ,Frametime           ,,,,,,,,,,,,,,
3, 18-04-2020 18:19:43,0,°C                  ,0,100,10,                    ,                    ,,,,,,,,,,,,,,,,,,
3, 18-04-2020 18:19:44,1,%                   ,0,100,10,                    ,                    ,,,,,,,,,,,,,,,,,,
3, 18-04-2020 18:19:44,2,MB                  ,0,8192,10,                    ,                    ,,,,,,,,,,,,,,,,,,
3, 18-04-2020 18:19:44,3,MHz                 ,0,2500,10,                    ,                    ,,,,,,,,,,,,,,,,,,
3, 18-04-2020 18:19:44,4,MHz                 ,0,7500,10,                    ,                    ,,,,,,,,,,,,,,,,,,
3, 18-04-2020 18:19:44,5,°C                  ,0,100,10,                    ,                    ,,,,,,,,,,,,,,,,,,
3, 18-04-2020 18:19:44,6,%                   ,0,100,10,                    ,                    ,,,,,,,,,,,,,,,,,,
3, 18-04-2020 18:19:44,7,MHz                 ,0,5000,10,                    ,                    ,,,,,,,,,,,,,,,,,,
3, 18-04-2020 18:19:44,8,MB                  ,0,16384,10,                    ,                    ,,,,,,,,,,,,,,,,,,
3, 18-04-2020 18:19:44,9,FPS                 ,0,200,10,                    ,                    ,,,,,,,,,,,,,,,,,,
3, 18-04-2020 18:19:44,10,ms                  ,0,50,10,                    ,                    ,,,,,,,,,,,,,,,,,,
80, 18-04-2020 18:19:45,0,0,37.938,405,405,42,6.078,897.23,3304,N/A                 ,0,,,,,,,,,,,,,,
80, 18-04-2020 18:19:45,40,0,37.938,135,405,57,16.382,797.537,3347,391.2,0,,10.97,,12,1,,,,,,,,,
80, 18-04-2020 18:19:46,41,26,59.07,1097.138,2505.6,47,33.008,3090.456,3391,391.2,149.185,,45.38,,24,2,,,,,,,,,
80, 18-04-2020 18:19:47,41,27,59.07,1097.138,2505.6,48,21.289,3190.143,3406,515.7,4.96,,45.38,,36,3,,,,,,,,,
80, 18-04-2020 18:19:48,41,36,59.07,888.31,800,47,21.094,3190.143,3408,501.5,4.708,,45.58,,48,4,,,,,,,,,
80, 18-04-2020 18:19:49,41,36,59.07,888.31,800,47,20.703,3190.154,3409,463.4,5.221,,45.8,,60,5,,,,,,,,,
80, 18-04-2020 18:19:50,40,37,59.07,888.31,800,48,21.289,3190.154,3411,464,5.437,,46.12,,72,6,,,,,,,,,
80, 18-04-2020 18:19:51,41,37,59.07,888.31,800,48,23.828,3190.148,3402,460.2,5.079,,46.12,,84,7,,,,,,,,,
80, 18-04-2020 18:19:52,40,0,59.07,135,405,44,17.53,3190.146,3398,450.2,5.571,,43.79,,96,8,,,,,,,,,
80, 18-04-2020 18:19:53,40,0,59.07,135,405,44,7.813,2093.534,3404,450.2,0,,43.84,,108,9,,,,,,,,,
80, 18-04-2020 18:19:54,41,28,59.07,1097.138,2505.6,48,20.406,797.537,3401,141.9,1659.219,,43.84,,120,10,,,,,,,,,
80, 18-04-2020 18:19:55,42,28,59.07,1097.138,2505.6,49,22.656,3190.149,3389,515.9,4.721,,44.46,,132,11,,,,,,,,,
80, 18-04-2020 18:19:56,42,30,59.07,1097.138,2505.6,52,19.727,3190.149,3381,522.1,4.328,,44.59,,144,12,,,,,,,,,
80, 18-04-2020 18:19:57,42,29,59.07,1097.138,2505.6,51,25.586,3190.146,3393,509.2,4.187,,44.61,,156,13,,,,,,,,,
80, 18-04-2020 18:19:58,42,29,59.07,1097.138,2505.6,52,23.242,3190.146,3406,517.4,4.723,,44.61,,168,14,,,,,,,,,
80, 18-04-2020 18:19:59,42,29,59.07,1097.138,2505.6,51,26.172,3090.457,3404,504.6,5.134,,44.64,,180,15,,,,,,,,,
80, 18-04-2020 18:20:00,42,29,59.07,1097.138,2505.6,53,24.451,3090.457,3402,511,4.792,,44.89,,192,16,,,,,,,,,
80, 18-04-2020 18:20:01,42,32,59.07,1097.138,2505.6,52,22.59,3190.146,3400,520.5,4.303,,45.07,,204,17,,,,,,,,,
80, 18-04-2020 18:20:02,42,32,59.07,1097.138,2505.6,51,23.438,3090.454,3398,499.4,4.334,,45.07,,216,18,,,,,,,,,
80, 18-04-2020 18:20:03,42,32,59.07,1097.138,2505.6,54,23.828,3190.149,3398,494.1,3.701,,45.08,,228,19,,,,,,,,,
80, 18-04-2020 18:20:04,42,31,59.07,1097.138,2505.6,53,23.242,3190.149,3396,507.2,4.383,,45.09,,240,20,,,,,,,,,
80, 18-04-2020 18:20:05,42,31,59.07,1097.138,2505.6,56,24.023,3190.145,3402,471.5,4.375,,45.09,,252,21,,,,,,,,,
80, 18-04-2020 18:20:06,43,33,59.07,1097.138,2505.6,57,24.414,3190.145,3404,491.8,3.716,,45.15,,264,22,,,,,,,,,
80, 18-04-2020 18:20:07,43,32,59.07,1097.138,2505.6,55,21.484,3190.15,3399,490.3,3.848,,45.17,,276,23,,,,,,,,,
80, 18-04-2020 18:20:08,43,32,59.07,1097.138,2505.6,57,24.219,3090.46,3398,493.6,3.584,,45.18,,288,24,,,,,,,,,
80, 18-04-2020 18:20:09,43,31,59.07,1097.138,2505.6,57,24.023,3090.456,3390,480.9,4.072,,45.18,,300,25,,,,,,,,,
80, 18-04-2020 18:20:10,43,32,59.07,1097.138,2505.6,58,26.758,3190.148,3388,471.6,4.56,,45.25,,312,26,,,,,,,,,
80, 18-04-2020 18:20:11,43,32,59.07,1097.138,2505.6,58,27.539,3190.146,3395,473.5,5.141,,45.26,,324,27,,,,,,,,,
80, 18-04-2020 18:20:12,43,33,59.07,1097.138,2505.6,59,22.852,3190.151,3397,480.8,4.908,,45.26,,336,28,,,,,,,,,
80, 18-04-2020 18:20:13,43,31,59.07,1097.138,2505.6,58,22.461,3190.151,3398,461.6,4.674,,45.26,,348,29,,,,,,,,,
80, 18-04-2020 18:20:14,44,31,59.07,1097.138,2505.6,53,23.047,3190.149,3399,460.5,4.466,,45.26,,360,30,,,,,,,,,
80, 18-04-2020 18:20:15,44,32,59.07,1097.138,2505.6,59,21.289,3090.457,3406,471.5,4.146,,45.52,,372,31,,,,,,,,,
80, 18-04-2020 18:20:16,44,33,59.07,1097.138,2505.6,60,27.148,3190.149,3401,462.2,4.676,,45.52,,384,32,,,,,,,,,
80, 18-04-2020 18:20:17,44,32,59.07,1097.138,2505.6,58,22.852,3190.149,3413,463.7,4.327,,45.29,,396,33,,,,,,,,,
80, 18-04-2020 18:20:18,44,32,59.07,1097.138,2505.6,59,22.461,3090.456,3410,466.5,4.201,,45.38,,408,34,,,,,,,,,
80, 18-04-2020 18:20:19,44,32,59.07,1097.138,2505.6,55,21.484,3190.149,3406,467.8,4.108,,45.38,,420,35,,,,,,,,,
80, 18-04-2020 18:20:20,44,31,59.07,1097.138,2505.6,59,23.047,3090.457,3403,456.2,5.056,,45.36,,432,36,,,,,,,,,
80, 18-04-2020 18:20:21,44,30,59.07,1097.138,2505.6,60,21.484,3190.148,3400,471.9,4.581,,45.29,,444,37,,,gpu,,cpu,,ram,,fps
80, 18-04-2020 18:20:22,44,33,59.07,1097.138,2505.6,60,22.266,3190.148,3406,463.1,4.367,,45.29,,456,38,,,36.556,,19.462984,,46.476,,196.0948
80, 18-04-2020 18:20:23,44,31,59.07,1097.138,2505.6,60,23.047,3190.148,3399,453.9,4.404,,45.29,,468,39,,,,,,,,,
80, 18-04-2020 18:20:24,45,32,59.07,1097.138,2505.6,56,21.68,3190.151,3411,454.2,4.669,,45.37,,480,40,,,,,,,,,
80, 18-04-2020 18:20:25,44,31,59.07,1097.138,2505.6,60,21.289,3289.836,3410,451.7,4.012,,45.73,,492,41,,,,,,,,,
80, 18-04-2020 18:20:26,45,31,59.07,1097.138,2505.6,61,19.141,3190.15,3409,461.5,4.538,,45.3,,504,42,,,,,,,,,
80, 18-04-2020 18:20:27,45,32,59.07,1097.138,2505.6,61,22.266,3190.15,3409,438.2,4.973,,45.3,,516,43,,,,,,,,,
80, 18-04-2020 18:20:28,45,32,59.07,1097.138,2505.6,58,19.531,3190.149,3408,441.9,4.205,,45.3,,528,44,,,,,,,,,
80, 18-04-2020 18:20:29,45,31,59.07,1097.138,2505.6,61,21.68,3190.149,3405,443.1,5.064,,45.48,,540,45,,,,,,,,,
80, 18-04-2020 18:20:30,45,31,59.07,1097.138,2505.6,62,21.289,3190.148,3404,443.7,4.281,,45.48,,552,46,,,,,,,,,
80, 18-04-2020 18:20:31,45,28,59.07,1097.138,2505.6,60,28.125,3190.148,3400,413.5,4.522,,45.29,,564,47,,,,,,,,,
80, 18-04-2020 18:20:32,45,31,59.07,1097.138,2505.6,62,26.953,3190.149,3394,409.7,4.607,,45.32,,576,48,,,,,,,,,
80, 18-04-2020 18:20:33,45,28,59.07,1097.138,2505.6,59,19.336,3190.149,3396,433.8,5.721,,45.59,,588,49,,,,,,,,,
80, 18-04-2020 18:20:34,45,31,59.07,1097.138,2505.6,62,20.313,3190.146,3398,441.4,4.082,,45.59,,600,50,,,,,,,,,
80, 18-04-2020 18:20:35,45,31,59.07,1097.138,2505.6,62,21.094,3190.146,3400,425.8,5.333,,45.31,,612,51,,,,,,,,,
80, 18-04-2020 18:20:36,45,30,59.07,1097.138,2505.6,63,18.359,3190.15,3400,436,4.545,,45.32,,624,52,,,,,,,,,
80, 18-04-2020 18:20:37,45,40,59.07,888.31,800,61,18.359,3190.149,3404,430.5,4.456,,45.33,,636,53,,,,,,,,,
80, 18-04-2020 18:20:38,45,41,59.07,888.31,800,62,21.68,3190.149,3406,408,4.132,,45.33,,648,54,,,,,,,,,
80, 18-04-2020 18:20:39,45,38,59.07,888.31,800,62,20.508,3190.149,3406,411.9,4.54,,45.46,,660,55,,,,,,,,,
80, 18-04-2020 18:20:40,45,36,59.07,888.31,800,56,20.117,3190.149,3406,413.7,5.252,,45.34,,672,56,,,,,,,,,
80, 18-04-2020 18:20:41,45,38,59.07,888.31,800,61,19.922,3190.148,3406,406.7,4.377,,45.38,,684,57,,,,,,,,,
80, 18-04-2020 18:20:42,45,39,59.07,888.31,800,62,19.922,3190.149,3402,404.9,5.678,,45.38,,696,58,,,,,,,,,
80, 18-04-2020 18:20:43,45,39,59.07,888.31,800,62,20.898,3190.149,3403,401.4,4.885,,45.32,,708,59,,,,,,,,,
80, 18-04-2020 18:20:44,45,38,59.07,888.31,800,62,18.945,3190.149,3403,409.9,3.956,,45.85,,720,60,,,,,,,,,
80, 18-04-2020 18:20:45,45,38,59.07,888.31,800,63,23.633,3190.087,3406,386.6,6.634,,45.85,,732,61,,,,,,,,,
80, 18-04-2020 18:20:46,45,38,59.07,888.31,800,62,22.656,3190.087,3406,387.2,4.438,,45.28,,744,62,,,,,,,,,
80, 18-04-2020 18:20:47,45,37,59.07,888.31,800,63,19.727,3190.18,3406,390.5,5.349,,45.31,,756,63,,,,,,,,,
80, 18-04-2020 18:20:48,45,38,59.07,888.31,800,63,20.703,3190.18,3406,394.6,5.012,,45.28,,768,64,,,,,,,,,
80, 18-04-2020 18:20:49,45,36,59.07,888.31,800,63,20.508,3190.148,3403,388.2,4.573,,45.28,,780,65,,,,,,,,,
80, 18-04-2020 18:20:50,45,37,59.07,888.31,800,64,20.703,3190.148,3405,374,4.457,,45.28,,792,66,,,,,,,,,
80, 18-04-2020 18:20:51,45,38,59.07,888.31,800,64,20.117,3190.15,3405,371.7,5.989,,45.45,,804,67,,,,,,,,,
80, 18-04-2020 18:20:52,45,35,59.07,888.31,800,62,19.922,3190.15,3406,374.8,4.654,,45.44,,816,68,,,,,,,,,
80, 18-04-2020 18:20:53,45,38,59.07,888.31,800,62,20.313,3190.149,3407,372.7,4.837,,45.44,,828,69,,,,,,,,,
80, 18-04-2020 18:20:54,45,37,59.07,888.31,800,63,21.484,3190.149,3408,368,5.186,,45.3,,840,70,,,,,,,,,
80, 18-04-2020 18:20:55,45,38,59.07,888.31,800,64,20.508,3190.148,3408,370.5,4.651,,45.3,,852,71,,,,,,,,,
80, 18-04-2020 18:20:56,45,37,59.07,888.31,800,61,19.727,3190.144,3409,361.2,5.923,,45.28,,864,72,,,,,,,,,
80, 18-04-2020 18:20:57,45,36,59.07,888.31,800,63,20.898,3190.154,3410,358.9,5.303,,45.28,,876,73,,,,,,,,,
80, 18-04-2020 18:20:58,45,35,59.07,888.31,800,62,21.094,3190.146,3411,358.2,6.129,,45.29,,888,74,,,,,,,,,
80, 18-04-2020 18:20:59,45,36,59.07,888.31,800,60,20.898,3190.146,3411,366.9,4.473,,45.28,,900,75,,,,,,,,,
80, 18-04-2020 18:21:00,45,36,59.07,888.31,800,62,18.164,3190.149,3412,359.6,5.782,,45.27,,912,76,,,,,,,,,
80, 18-04-2020 18:21:01,45,35,59.07,888.31,800,63,20.898,3190.149,3406,349.5,6.572,,45.27,,924,77,,,,,,,,,
80, 18-04-2020 18:21:02,45,32,59.07,888.31,800,64,19.922,3190.149,3405,357.7,4.852,,45.66,,936,78,,,,,,,,,
80, 18-04-2020 18:21:03,45,35,59.07,888.31,800,63,20.117,3190.148,3407,348.2,5.739,,45.57,,948,79,,,,,,,,,
80, 18-04-2020 18:21:04,45,34,59.07,888.31,800,64,19.922,3289.84,3407,349.8,5.485,,45.57,,960,80,,,,,,,,,
80, 18-04-2020 18:21:05,45,33,59.07,888.31,800,63,21.484,3190.148,3409,340.5,5.146,,45.3,,972,81,,,,,,,,,
80, 18-04-2020 18:21:06,45,29,59.07,888.31,800,63,19.922,3190.148,3409,344.4,5.523,,45.32,,984,82,,,,,,,,,
80, 18-04-2020 18:21:07,45,33,59.07,888.31,800,64,19.922,3190.149,3411,339.1,5.49,,45.28,,996,83,,,,,,,,,
80, 18-04-2020 18:21:08,45,33,59.07,888.31,800,63,18.164,3190.148,3406,337.7,4.584,,45.28,,1008,84,,,,,,,,,
80, 18-04-2020 18:21:09,45,32,59.07,888.31,800,64,21.289,3090.458,3408,331.9,5.175,,45.32,,1020,85,,,,,,,,,
80, 18-04-2020 18:21:10,45,31,59.07,888.31,800,64,19.922,3190.15,3408,334.1,7.005,,45.27,,1032,86,,,,,,,,,
80, 18-04-2020 18:21:11,45,33,59.07,888.31,800,63,20.313,3190.148,3410,336.6,5.29,,45.29,,1044,87,,,,,,,,,
80, 18-04-2020 18:21:12,45,33,59.07,888.31,800,64,19.531,3190.142,3410,322.8,6.764,,45.29,,1056,88,,,,,,,,,
80, 18-04-2020 18:21:13,45,32,59.07,888.31,800,64,20.117,3190.142,3411,318.8,6.019,,45.33,,1068,89,,,,,,,,,
