0, 18-04-2020 17:52:09, Hardware monitoring log v1.5 ,,,,,,,,,,,,,,,,,,,,,,,,
1, 18-04-2020 17:52:09, GeForce GTX 960M,Intel(R) HD Graphics 530,,,,,,,,,,,,,,,,,,,,,,,
2, 18-04-2020 17:52:09, GPU1 temperature    ,GPU1 usage          ,GPU1 memory usage   ,GPU1 core clock     ,GPU1 memory clock   ,CPU temperature     ,CPU usage           ,CPU clock           ,RAM usage           ,Framerate           ,Frametime           ,,,,,,,,,,,,,,
3, 18-04-2020 17:52:09,0,°C                  ,0,100,10,                    ,                    ,,,,,,,,,,,,,,,,,,
3, 18-04-2020 17:52:09,1,%                   ,0,100,10,                    ,                    ,,,,,,,,,,,,,,,,,,
3, 18-04-2020 17:52:09,2,MB                  ,0,8192,10,                    ,                    ,,,,,,,,,,,,,,,,,,
3, 18-04-2020 17:52:09,3,MHz                 ,0,2500,10,                    ,                    ,,,,,,,,,,,,,,,,,,
3, 18-04-2020 17:52:09,4,MHz                 ,0,7500,10,                    ,                    ,,,,,,,,,,,,,,,,,,
3, 18-04-2020 17:52:09,5,°C                  ,0,100,10,                    ,                    ,,,,,,,,,,,,,,,,,,
3, 18-04-2020 17:52:09,6,%                   ,0,100,10,                    ,                    ,,,,,,,,,,,,,,,,,,
3, 18-04-2020 17:52:09,7,MHz                 ,0,5000,10,                    ,                    ,,,,,,,,,,,,,,,,,,
3, 18-04-2020 17:52:09,8,MB                  ,0,16384,10,                    ,                    ,,,,,,,,,,,,,,,,,,
3, 18-04-2020 17:52:09,9,FPS                 ,0,200,10,                    ,                    ,,,,,,,,,,,,,,,,,,
3, 18-04-2020 17:52:09,10,ms                  ,0,50,10,                    ,                    ,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:52:09,40,0,37.938,135,405,42,3.797,797.537,3201,N/A                 ,0,,,,,,,,,,,,,,
80, 18-04-2020 17:52:10,40,0,37.938,135,405,42,5.469,897.229,3200,N/A                 ,0,,,,,,,,,,,,,,
80, 18-04-2020 17:52:11,0,0,37.938,405,405,56,9.844,797.537,3226,N/A                 ,0,,,,,,,,,,,,,,
80, 18-04-2020 17:52:12,41,23,66.465,1097.138,2505.6,48,26.467,3090.457,3283,384,5.996,,,,,,,,,,,,,,
80, 18-04-2020 17:52:13,41,26,66.965,1097.138,2505.6,51,24.023,3190.149,3290,383.5,12.733,,,,,,,,,,,,,,
80, 18-04-2020 17:52:14,41,30,66.965,1097.138,2505.6,51,25,3090.456,3280,394.4,0,,,,,,,,,,,,,,
80, 18-04-2020 17:52:15,41,32,66.965,888.31,800,50,23.438,3190.148,3280,345.6,13.713,,,,,,,,,,,,,,
80, 18-04-2020 17:52:16,40,37,66.965,888.31,800,51,19.261,3190.15,3282,361.7,5.762,,,,,,,,,,,,,,
80, 18-04-2020 17:52:17,40,35,66.965,888.31,800,48,17.383,3190.149,3281,318,6.29,,,,,,,,,,,,,,
80, 18-04-2020 17:52:18,40,40,66.965,888.31,800,48,18.75,3289.841,3280,334.8,8.614,,,39.16,,12,1,,,,,,,,
80, 18-04-2020 17:52:19,40,31,66.965,888.31,800,53,22.266,3289.84,3276,296.9,7.007,,,35.3,,24,2,,,,,,,,
80, 18-04-2020 17:52:20,40,39,66.965,888.31,800,50,19.531,3190.148,3275,325.4,6.299,,,35.29,,36,3,,,,,,,,
80, 18-04-2020 17:52:21,41,40,66.965,888.31,800,54,19.922,3190.149,3275,353.4,5.748,,,35.29,,48,4,,,,,,,,
80, 18-04-2020 17:52:22,41,38,66.965,888.31,800,53,20.703,3190.149,3275,329,5.061,,,35.29,,60,5,,,,,,,,
80, 18-04-2020 17:52:23,41,33,66.965,888.31,800,55,26.758,3190.148,3288,296.3,0,,,35.29,,72,6,,,,,,,,
80, 18-04-2020 17:52:24,41,40,66.965,888.31,800,54,22.852,3090.457,3276,308.8,0,,,35.29,,84,7,,,,,,,,
80, 18-04-2020 17:52:25,41,37,66.965,888.31,800,50,20.703,3190.149,3276,322,0,,,35.29,,96,8,,,,,,,,
80, 18-04-2020 17:52:26,41,31,66.965,888.31,800,56,22.461,3190.146,3275,303.5,0,,,35.29,,108,9,,,,,,,,
80, 18-04-2020 17:52:27,41,36,66.965,888.31,800,55,22.656,3289.839,3273,296.9,0,,,35.29,,120,10,,,,,,,,
80, 18-04-2020 17:52:28,41,34,66.965,888.31,800,56,27.539,3190.146,3274,261.6,0,,,35.29,,132,11,,,,,,,,
80, 18-04-2020 17:52:29,41,34,66.965,888.31,800,57,24.219,3190.146,3274,258.9,0,,,35.29,,144,12,,,,,,,,
80, 18-04-2020 17:52:30,41,29,66.965,888.31,800,57,30.534,3289.845,3285,262.7,0,,,35.29,,156,13,,,,,,,,
80, 18-04-2020 17:52:31,41,30,66.965,888.31,800,54,30.401,3090.456,3286,248.6,0,,,35.29,,168,14,,,,,,,,
80, 18-04-2020 17:52:32,41,30,66.965,888.31,800,55,25.977,3190.148,3291,244.8,0,,,35.29,,180,15,,,,,,,,
80, 18-04-2020 17:52:33,41,28,66.965,888.31,800,56,24.219,3190.149,3285,241.6,0,,,35.29,,192,16,,,,,,,,
80, 18-04-2020 17:52:34,42,32,66.965,888.31,800,55,26.367,3190.149,3285,236.8,0,,,35.29,,204,17,,,,,,,,
80, 18-04-2020 17:52:35,42,27,66.965,888.31,800,54,24.805,3190.149,3284,216.2,0,,,35.29,,216,18,,,,,,,,
80, 18-04-2020 17:52:36,42,31,66.965,888.31,800,58,23.828,3190.148,3284,236.7,0,,,35.29,,228,19,,,,,,,,
