00, 02-05-2020 19:57:26, Hardware monitoring log v1.5 
01, 02-05-2020 19:57:26, GeForce RTX 2070,Intel(R) HD Graphics 630
02, 02-05-2020 19:57:26, GPU1 usage          ,GPU1 memory usage   ,CPU usage           ,CPU clock           ,RAM usage           ,Framerate           ,Frametime           
03, 02-05-2020 19:57:26, 0                   ,%                   ,0.000               ,100.000             ,10                  ,                    ,                    
03, 02-05-2020 19:57:26, 1                   ,MB                  ,0.000               ,8192.000            ,10                  ,                    ,                    
03, 02-05-2020 19:57:26, 2                   ,%                   ,0.000               ,100.000             ,10                  ,                    ,                    
03, 02-05-2020 19:57:26, 3                   ,MHz                 ,0.000               ,5000.000            ,10                  ,                    ,                    
03, 02-05-2020 19:57:26, 4                   ,MB                  ,0.000               ,16384.000           ,10                  ,                    ,                    
03, 02-05-2020 19:57:26, 5                   ,FPS                 ,0.000               ,200.000             ,10                  ,                    ,                    
03, 02-05-2020 19:57:26, 6                   ,ms                  ,0.000               ,50.000              ,10                  ,                    ,                    
80, 02-05-2020 19:57:26, 0.000               ,436.926             ,12.109              ,2195.369            ,3912.000            ,N/A                 ,0.000               
80, 02-05-2020 19:57:27, 1.000               ,436.926             ,8.203               ,2993.685            ,3913.000            ,N/A                 ,0.000               
80, 02-05-2020 19:57:28, 1.000               ,436.926             ,9.375               ,2694.316            ,3913.000            ,N/A                 ,0.000               
80, 02-05-2020 19:57:29, 0.000               ,436.926             ,3.516               ,2694.316            ,3912.000            ,N/A                 ,0.000               
80, 02-05-2020 19:57:30, 0.000               ,436.926             ,3.125               ,2394.947            ,3912.000            ,N/A                 ,0.000               
80, 02-05-2020 19:57:31, 0.000               ,436.926             ,6.250               ,4191.159            ,3911.000            ,N/A                 ,0.000               
80, 02-05-2020 19:57:32, 0.000               ,436.926             ,7.031               ,2095.578            ,3911.000            ,N/A                 ,0.000               
80, 02-05-2020 19:57:33, 0.000               ,436.926             ,4.297               ,2095.578            ,3911.000            ,N/A                 ,0.000               
80, 02-05-2020 19:57:34, 0.000               ,436.926             ,7.813               ,2694.316            ,3911.000            ,N/A                 ,0.000               
80, 02-05-2020 19:57:35, 0.000               ,436.926             ,15.234              ,3392.843            ,3911.000            ,N/A                 ,0.000               
80, 02-05-2020 19:57:36, 0.000               ,436.926             ,33.203              ,4191.159            ,3910.000            ,N/A                 ,0.000               
