0, 18-04-2020 14:26:24, Hardware monitoring log v1.5 ,,,,,,,,,,,,,
1, 18-04-2020 14:26:24, GeForce GTX 960M,Intel(R) HD Graphics 530,,,,,,,,,,,,
2, 18-04-2020 14:26:24, GPU1 temperature    ,GPU1 usage          ,GPU1 memory usage   ,GPU1 core clock     ,GPU1 memory clock   ,CPU temperature     ,CPU usage           ,CPU clock           ,RAM usage           ,Framerate           ,Frametime           ,,,
3, 18-04-2020 14:26:24,0,°C                  ,0,100,10,                    ,                    ,,,,,,,
3, 18-04-2020 14:26:24,1,%                   ,0,100,10,                    ,                    ,,,,,,,
3, 18-04-2020 14:26:24,2,MB                  ,0,8192,10,                    ,                    ,,,,,,,
3, 18-04-2020 14:26:24,3,MHz                 ,0,2500,10,                    ,                    ,,,,,,,
3, 18-04-2020 14:26:24,4,MHz                 ,0,7500,10,                    ,                    ,,,,,,,
3, 18-04-2020 14:26:24,5,°C                  ,0,100,10,                    ,                    ,,,,,,,
3, 18-04-2020 14:26:24,6,%                   ,0,100,10,                    ,                    ,,,,,,,
3, 18-04-2020 14:26:25,7,MHz                 ,0,5000,10,                    ,                    ,,,,,,,
3, 18-04-2020 14:26:25,8,MB                  ,0,16384,10,                    ,                    ,,,,,,,
3, 18-04-2020 14:26:25,9,FPS                 ,0,200,10,                    ,                    ,,,,,,,
3, 18-04-2020 14:26:25,10,ms                  ,0,50,10,                    ,                    ,,,,,,,
80, 18-04-2020 14:26:25,0,0,37.938,405,405,42,4.801,897.229,3229,N/A                 ,0,,,
80, 18-04-2020 14:26:26,40,0,37.938,135,405,42,5.398,797.537,3229,N/A                 ,0,,,
80, 18-04-2020 14:26:27,40,0,37.938,135,405,42,2.148,897.229,3228,N/A                 ,0,,,
80, 18-04-2020 14:26:28,40,0,37.938,405,405,52,12.109,797.537,3237,N/A                 ,0,,,2020-04-18T14:26:28.355519600+03:00 polygons 12 objects 1
80, 18-04-2020 14:26:29,41,28,66.465,1097.138,2505.6,46,19.336,3289.84,3290,385.1,7.873,,,2020-04-18T14:26:29.355318100+03:00 polygons 24 objects 2
80, 18-04-2020 14:26:30,41,27,66.965,1097.138,2505.6,48,19.141,3190.15,3293,393.1,5.1,,,2020-04-18T14:26:30.355055600+03:00 polygons 36 objects 3
80, 18-04-2020 14:26:31,41,30,66.965,888.31,800,48,19.531,3190.15,3296,337.8,7.717,,,2020-04-18T14:26:31.354822200+03:00 polygons 48 objects 4
80, 18-04-2020 14:26:32,41,34,66.965,888.31,800,49,19.837,3190.149,3298,363.7,0,,,2020-04-18T14:26:32.353016+03:00 polygons 60 objects 5
80, 18-04-2020 14:26:33,41,37,66.965,888.31,800,47,16.211,3190.145,3298,373.9,0,,,2020-04-18T14:26:33.368400200+03:00 polygons 72 objects 6
