0, 18-04-2020 17:08:48, Hardware monitoring log v1.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, 18-04-2020 17:08:48, GeForce GTX 960M,Intel(R) HD Graphics 530,,,,,,,,,,,,,,,,,,,,,,,,,,
2, 18-04-2020 17:08:48, GPU1 temperature    ,GPU1 usage          ,GPU1 memory usage   ,GPU1 core clock     ,GPU1 memory clock   ,CPU temperature     ,CPU usage           ,CPU clock           ,RAM usage           ,Framerate           ,Frametime           ,,,,,,,,,,,,,,,,,
3, 18-04-2020 17:08:48,0,°C                  ,0,100,10,                    ,                    ,,,,,,,,,,,,,,,,,,,,,
3, 18-04-2020 17:08:48,1,%                   ,0,100,10,                    ,                    ,,,,,,,,,,,,,,,,,,,,,
3, 18-04-2020 17:08:48,2,MB                  ,0,8192,10,                    ,                    ,,,,,,,,,,,,,,,,,,,,,
3, 18-04-2020 17:08:48,3,MHz                 ,0,2500,10,                    ,                    ,,,,,,,,,,,,,,,,,,,,,
3, 18-04-2020 17:08:48,4,MHz                 ,0,7500,10,                    ,                    ,,,,,,,,,,,,,,,,,,,,,
3, 18-04-2020 17:08:48,5,°C                  ,0,100,10,                    ,                    ,,,,,,,,,,,,,,,,,,,,,
3, 18-04-2020 17:08:48,6,%                   ,0,100,10,                    ,                    ,,,,,,,,,,,,,,,,,,,,,
3, 18-04-2020 17:08:48,7,MHz                 ,0,5000,10,                    ,                    ,,,,,,,,,,,,,,,,,,,,,
3, 18-04-2020 17:08:48,8,MB                  ,0,16384,10,                    ,                    ,,,,,,,,,,,,,,,,,,,,,
3, 18-04-2020 17:08:48,9,FPS                 ,0,200,10,                    ,                    ,,,,,,,,,,,,,,,,,,,,,
3, 18-04-2020 17:08:48,10,ms                  ,0,50,10,                    ,                    ,,,,,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:08:48,39,0,37.938,135,405,46,2.25,897.229,3134,N/A                 ,0,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:08:49,0,0,37.938,405,405,41,10.806,897.229,3130,N/A                 ,0,,,,,,,,,,,,,,,,,
80, 18-04-2020 17:08:50,38,0,37.938,135,405,41,3.797,797.537,3130,N/A                 ,0,,,4,,,,,,,,,,,,,,
80, 18-04-2020 17:08:51,39,0,49.594,1097.138,2505.6,51,13.067,797.537,3182,0,0,,,43.38,,,,12,1,,,,,,,,,
80, 18-04-2020 17:08:52,40,31,60.07,1097.138,2505.6,52,29.641,3190.149,3215,410.9,161.877,,,43.38,,,,24,2,,,,,,,,,
80, 18-04-2020 17:08:53,40,29,60.07,1097.138,2505.6,52,27.954,3090.454,3220,548.9,4.22,,,43.47,,,,36,3,,,,,,,,,
80, 18-04-2020 17:08:54,39,38,60.07,888.31,800,52,30.078,3090.454,3213,516.5,4.044,,,43.47,,,,48,4,,,,,,,,,
80, 18-04-2020 17:08:55,39,38,60.07,888.31,800,52,29.492,3090.456,3212,483.1,4.501,,,43.5,,,,60,5,,,,,,,,,
80, 18-04-2020 17:08:56,39,0,60.07,135,405,44,17.188,3090.456,3212,477.4,3.487,,,43.55,,,,72,6,,,,,,,,,
80, 18-04-2020 17:08:57,39,0,60.07,135,405,43,5.664,1993.843,3212,0.6,1577.73,,,43.36,,,,84,7,,,,,,,,,
80, 18-04-2020 17:08:58,40,32,60.07,1097.138,2505.6,53,30.273,3190.149,3212,187.3,4.152,,,43.36,,,,96,8,,,,,,,,,
80, 18-04-2020 17:08:59,40,31,60.07,1097.138,2505.6,54,30.469,3190.148,3212,524.9,3.588,,,43.36,,,,108,9,,,,,,,,,
80, 18-04-2020 17:09:00,40,31,60.07,1097.138,2505.6,54,29.883,3090.456,3222,519.7,4.421,,,43.36,,,,120,10,,,,,,,,,
80, 18-04-2020 17:09:01,41,31,60.07,1097.138,2505.6,54,29.492,3090.457,3221,505.2,3.709,,,43.36,,,,132,11,,,,,,,,,
80, 18-04-2020 17:09:02,40,28,60.07,1097.138,2505.6,56,29.297,3090.457,3221,472.8,4.393,,,43.36,,,,144,12,,,,,,,,,
80, 18-04-2020 17:09:03,41,30,60.07,1097.138,2505.6,55,30.469,3090.456,3212,488.9,3.636,,,43.36,,,,156,13,,,,,,,,,
80, 18-04-2020 17:09:04,41,27,60.07,1097.138,2505.6,56,35.938,3190.145,3211,438.5,3.962,,,43.36,,,,168,14,,,,,,,,,
80, 18-04-2020 17:09:05,41,26,60.07,1097.138,2505.6,53,35.938,3090.453,3211,418.9,0,,,44.49,,,,180,15,,,,,,,,,
80, 18-04-2020 17:09:06,41,31,60.07,1097.138,2505.6,52,25.028,3190.153,3213,491.6,0,,,44.49,,,,192,16,,,,,,,,,
80, 18-04-2020 17:09:07,41,33,60.07,1097.138,2505.6,53,23.242,3190.153,3216,515.1,0,,,44.63,,,,204,17,,,,,,,,,
80, 18-04-2020 17:09:08,41,31,60.07,1097.138,2505.6,53,26.563,3090.456,3220,460.9,0,,,44.77,,,,216,18,,,,,,,,,
80, 18-04-2020 17:09:09,41,26,60.07,1097.138,2505.6,54,31.055,3090.456,3220,415.9,0,,,44.77,,,,228,19,,,,,,,,,
80, 18-04-2020 17:09:10,41,32,60.07,1097.138,2505.6,57,21.094,3190.148,3211,504.2,0,,,44.9,,,,240,20,,,,,,,,,
80, 18-04-2020 17:09:11,42,29,60.07,1097.138,2505.6,49,26.172,3190.132,3213,446.9,0,,,42.53,,,,252,21,,,,,,,,,
80, 18-04-2020 17:09:12,41,33,60.07,1097.138,2505.6,56,21.289,3190.132,3213,524,0,,,42.53,,,,264,22,,,,,,,,,
80, 18-04-2020 17:09:13,42,33,60.07,1097.138,2505.6,55,20.313,3190.157,3222,526,0,,,42.66,,,,276,23,,,,,,,,,
80, 18-04-2020 17:09:14,42,33,60.07,1097.138,2505.6,52,19.141,3090.465,3222,543.1,0,,,42.79,,,,288,24,,,,,,,,,
80, 18-04-2020 17:09:15,42,27,60.07,1097.138,2505.6,55,24.761,3190.148,3198,456.3,0,,,43.7,,,,300,25,,,,,,,,,
80, 18-04-2020 17:09:16,42,26,60.07,1097.138,2505.6,56,29.41,3190.149,3198,406.4,0,,,43.7,,,,312,26,,,,,,,,,
80, 18-04-2020 17:09:17,42,29,60.07,1097.138,2505.6,54,23.828,3090.457,3201,479.8,0,,,43.7,,,,324,27,,,,,,,,,
80, 18-04-2020 17:09:18,42,26,60.07,1097.138,2505.6,54,23.438,3190.149,3202,391.4,0,,,43.7,,,,336,28,,,,,,,,,
80, 18-04-2020 17:09:19,42,27,60.07,1097.138,2505.6,57,25,3190.149,3202,429.4,6.571,,,43.7,,,,348,29,,,,,,,,,
80, 18-04-2020 17:09:20,43,25,60.07,1097.138,2505.6,58,23.633,3190.149,3202,465.4,4.768,,,43.7,,,,360,30,,,,,,,,,
80, 18-04-2020 17:09:21,43,33,60.07,1097.138,2505.6,58,28.711,3090.456,3222,442.3,3.955,,,43.7,,,,372,31,,,,,,,,,
80, 18-04-2020 17:09:22,43,34,60.07,1097.138,2505.6,59,23.633,3090.456,3240,501.8,3.573,,,43.96,,,,384,32,,,,,,,,,
80, 18-04-2020 17:09:23,43,25,60.07,1097.138,2505.6,58,22.266,3190.148,3244,421.5,0,,,44.23,,,,396,33,,,,,,,,,
80, 18-04-2020 17:09:24,43,32,60.07,1097.138,2505.6,56,25,3190.153,3247,415.8,0,,,44.23,,,,408,34,,,,,,,,,
80, 18-04-2020 17:09:25,42,0,60.07,135,405,50,14.844,3090.46,3245,444.2,8.881,,,44.39,,,,420,35,,,gpu,,cpu,,ram,,fps
80, 18-04-2020 17:09:26,43,26,60.07,1097.138,2505.6,55,25.195,3190.149,3238,224.3,679.599,,,44.65,,,,432,36,,,32.55959596,,24.14031313,,242.7702626,,211.2854545
80, 18-04-2020 17:09:27,43,30,60.07,1097.138,2505.6,59,22.266,3190.149,3237,457.7,4.567,,,44.65,,,,444,37,,,,,,,,,
80, 18-04-2020 17:09:28,43,31,60.07,1097.138,2505.6,60,26.162,3090.456,3239,445.6,4.274,,,44.91,,,,456,38,,,,,,,,,
80, 18-04-2020 17:09:29,43,21,60.07,1097.138,2505.6,62,41.992,3090.457,3269,362.3,0,,,45.17,,,,468,39,,,,,,,,,
80, 18-04-2020 17:09:30,43,19,60.07,1097.138,2505.6,61,95.508,3090.456,3353,236.2,0,,,45.55,,,,480,40,,,,,,,,,
80, 18-04-2020 17:09:31,43,30,60.07,1097.138,2505.6,57,40.234,3090.456,3364,368.6,0,,,45.55,,,,492,41,,,,,,,,,
80, 18-04-2020 17:09:32,43,23,60.07,1097.138,2505.6,58,39.648,3090.458,3354,360.2,0,,,45.81,,,,504,42,,,,,,,,,
80, 18-04-2020 17:09:33,44,29,60.07,1097.138,2505.6,61,40.234,3190.15,3367,345.1,0,,,46.07,,,,516,43,,,,,,,,,
80, 18-04-2020 17:09:34,44,30,60.07,1097.138,2505.6,54,24.414,3090.453,3347,431.9,0,,,46.07,,,,528,44,,,,,,,,,
80, 18-04-2020 17:09:35,44,30,60.07,1097.138,2505.6,60,18.945,3190.145,3332,476,0,,,46.33,,,,540,45,,,,,,,,,
80, 18-04-2020 17:09:36,44,27,60.07,1097.138,2505.6,61,28.711,3190.15,3346,394.5,0,,,46.71,,,,552,46,,,,,,,,,
80, 18-04-2020 17:09:37,44,32,60.07,1097.138,2505.6,60,19.336,3190.15,3335,464.9,0,,,46.98,,,,564,47,,,,,,,,,
80, 18-04-2020 17:09:38,44,29,60.07,1097.138,2505.6,59,18.164,3190.148,3335,473.8,0,,,46.98,,,,576,48,,,,,,,,,
80, 18-04-2020 17:09:39,44,41,60.07,888.31,800,63,18.945,3190.149,3339,464.9,0,,,47.37,,,,588,49,,,,,,,,,
80, 18-04-2020 17:09:40,44,40,60.07,888.31,800,57,20.508,3190.146,3346,455.5,0,,,47.75,,,,600,50,,,,,,,,,
80, 18-04-2020 17:09:41,44,37,60.07,888.31,800,62,20.898,3190.146,3347,442,0,,,47.75,,,,612,51,,,,,,,,,
80, 18-04-2020 17:09:42,44,42,60.07,888.31,800,61,20.508,3090.457,3336,460.2,0,,,48.02,,,,624,52,,,,,,,,,
80, 18-04-2020 17:09:43,43,40,60.07,888.31,800,60,23.242,3190.149,3337,449.4,0,,,48.41,,,,636,53,,,,,,,,,
80, 18-04-2020 17:09:44,44,40,60.07,888.31,800,57,19.336,3090.457,3340,428,0,,,48.8,,,,648,54,,,,,,,,,
80, 18-04-2020 17:09:45,43,41,60.07,888.31,800,62,18.75,3190.096,3341,466.6,0,,,48.8,,,,660,55,,,,,,,,,
80, 18-04-2020 17:09:46,43,42,60.07,888.31,800,60,19.727,3190.096,3348,441.6,0,,,49.19,,,,672,56,,,,,,,,,
80, 18-04-2020 17:09:47,44,40,60.07,888.31,800,61,20.898,3190.176,3352,442.8,0,,,49.58,,,,684,57,,,,,,,,,
80, 18-04-2020 17:09:48,44,38,60.07,888.31,800,61,19.141,3190.176,3351,450.2,0,,,49.58,,,,696,58,,,,,,,,,
80, 18-04-2020 17:09:49,44,42,60.07,888.31,800,61,18.359,3090.457,3341,440.3,0,,,49.96,,,,708,59,,,,,,,,,
80, 18-04-2020 17:09:50,44,41,60.07,888.31,800,60,20.313,3190.145,3342,428.8,0,,,50.3,,,,720,60,,,,,,,,,
80, 18-04-2020 17:09:51,44,40,60.07,888.31,800,58,20.703,3190.145,3341,443.9,0,,,50.3,,,,732,61,,,,,,,,,
80, 18-04-2020 17:09:52,44,42,60.07,888.31,800,59,17.969,3090.458,3340,441.4,0,,,50.82,,,,744,62,,,,,,,,,
80, 18-04-2020 17:09:53,44,40,60.07,888.31,800,57,19.727,3090.458,3342,425.5,0,,,51.21,,,,756,63,,,,,,,,,
80, 18-04-2020 17:09:54,44,39,60.07,888.31,800,60,19.727,3190.149,3343,424.2,0,,,51.6,,,,768,64,,,,,,,,,
80, 18-04-2020 17:09:55,44,35,60.07,888.31,800,62,19.141,3190.149,3342,424.9,0,,,51.6,,,,780,65,,,,,,,,,
80, 18-04-2020 17:09:56,44,35,60.07,888.31,800,59,18.164,3190.149,3348,419.9,0,,,52.11,,,,792,66,,,,,,,,,
80, 18-04-2020 17:09:57,44,38,60.07,888.31,800,62,19.922,3289.841,3353,411.9,0,,,52.51,,,,804,67,,,,,,,,,
80, 18-04-2020 17:09:58,44,35,60.07,888.31,800,59,20.508,3190.148,3346,407.1,0,,,52.51,,,,816,68,,,,,,,,,
80, 18-04-2020 17:09:59,44,36,60.07,888.31,800,60,19.531,3190.148,3344,415.2,0,,,53.02,,,,828,69,,,,,,,,,
80, 18-04-2020 17:10:00,44,34,60.07,888.31,800,58,21.183,3190.148,3344,392.4,0,,,53.54,,,,840,70,,,,,,,,,
80, 18-04-2020 17:10:01,44,35,60.07,888.31,800,62,18.359,3190.149,3358,394.2,0,,,53.93,,,,852,71,,,,,,,,,
80, 18-04-2020 17:10:02,44,34,60.07,888.31,800,58,21.484,3090.457,3358,391.9,0,,,53.93,,,,864,72,,,,,,,,,
80, 18-04-2020 17:10:03,44,37,60.07,888.31,800,62,18.555,3190.149,3359,413.4,0,,,54.44,,,,876,73,,,,,,,,,
80, 18-04-2020 17:10:04,44,35,60.07,888.31,800,59,20.313,3289.841,3358,394.9,0,,,54.96,,,,888,74,,,,,,,,,
80, 18-04-2020 17:10:05,44,34,60.07,888.31,800,62,21.289,3190.148,3345,394.3,0,,,55.48,,,,900,75,,,,,,,,,
80, 18-04-2020 17:10:06,44,34,60.07,888.31,800,61,18.555,3190.148,3346,394.6,0,,,55.48,,,,912,76,,,,,,,,,
80, 18-04-2020 17:10:07,44,34,60.07,888.31,800,61,19.922,3190.148,3348,380.6,0,,,56,,,,924,77,,,,,,,,,
80, 18-04-2020 17:10:08,44,35,60.07,888.31,800,63,20.117,3289.84,3350,385.4,0,,,56.52,,,,936,78,,,,,,,,,
80, 18-04-2020 17:10:09,44,32,60.07,888.31,800,61,18.359,3289.842,3353,384.7,0,,,56.52,,,,948,79,,,,,,,,,
80, 18-04-2020 17:10:10,44,35,60.07,888.31,800,63,20.117,3190.148,3357,391.8,0,,,57.03,,,,960,80,,,,,,,,,
80, 18-04-2020 17:10:11,44,34,60.07,888.31,800,62,18.945,3190.148,3348,371.9,0,,,57.55,,,,972,81,,,,,,,,,
80, 18-04-2020 17:10:12,44,33,60.07,888.31,800,62,20.117,3190.149,3355,360.5,0,,,58.2,,,,984,82,,,,,,,,,
80, 18-04-2020 17:10:13,44,35,60.07,888.31,800,62,19.727,3289.841,3355,373.2,0,,,58.2,,,,996,83,,,,,,,,,
80, 18-04-2020 17:10:14,44,34,60.07,888.31,800,63,20.313,3289.84,3349,369,0,,,58.71,,,,1008,84,,,,,,,,,
80, 18-04-2020 17:10:15,44,34,60.07,888.31,800,63,20.117,3190.148,3349,361.6,0,,,59.36,,,,1020,85,,,,,,,,,
80, 18-04-2020 17:10:16,44,35,60.07,888.31,800,59,20.508,3190.149,3349,366.9,0,,,59.36,,,,1032,86,,,,,,,,,
80, 18-04-2020 17:10:17,44,34,60.07,888.31,800,60,17.383,3190.149,3349,360.6,0,,,59.88,,,,1044,87,,,,,,,,,
80, 18-04-2020 17:10:18,44,34,60.07,888.31,800,62,19.922,3289.841,3341,354.4,0,,,60.52,,,,1056,88,,,,,,,,,
80, 18-04-2020 17:10:19,44,33,60.07,888.31,800,63,19.727,3289.841,3342,353.9,0,,,61.04,,,,1068,89,,,,,,,,,
80, 18-04-2020 17:10:20,44,31,60.07,888.31,800,61,19.141,3289.84,3341,349.4,0,,,61.04,,,,1080,90,,,,,,,,,
80, 18-04-2020 17:10:21,45,33,60.07,888.31,800,57,19.531,3190.148,3341,353.9,0,,,61.69,,,,1092,91,,,,,,,,,
80, 18-04-2020 17:10:22,44,34,60.07,888.31,800,61,18.75,3289.84,3352,340.1,0,,,64.33,,,,1104,92,,,,,,,,,
80, 18-04-2020 17:10:23,45,33,60.07,888.31,800,61,20.703,3289.844,3357,339.3,0,,,64.98,,,,1116,93,,,,,,,,,
80, 18-04-2020 17:10:24,45,31,60.07,888.31,800,63,18.359,3190.151,3357,338.4,0,,,64.98,,,,1128,94,,,,,,,,,
80, 18-04-2020 17:10:25,45,32,60.07,888.31,800,61,19.141,3289.84,3344,340.1,0,,,65.62,,,,1140,95,,,,,,,,,
80, 18-04-2020 17:10:26,45,33,60.07,888.31,800,59,20.313,3190.148,3346,328.9,0,,,66.27,,,,1152,96,,,,,,,,,
80, 18-04-2020 17:10:27,45,32,60.07,888.31,800,63,18.555,3289.84,3347,325.9,0,,,66.27,,,,1164,97,,,,,,,,,
80, 18-04-2020 17:10:28,45,33,60.07,888.31,800,61,18.945,3190.148,3344,324.8,0,,,66.41,,,,1176,98,,,,,,,,,
80, 18-04-2020 17:10:29,45,32,60.07,888.31,800,57,17.578,3289.84,3356,321.1,0,,,67.07,,,,1188,99,,,,,,,,,
80, 18-04-2020 17:10:30,45,31,60.07,888.31,800,58,18.555,3190.118,3332,322.7,0,,,67.71,,,,1200,100,,,,,,,,,
80, 18-04-2020 17:10:31,45,31,60.07,888.31,800,62,18.75,3190.118,3311,325.1,0,,,67.71,,,,1212,101,,,,,,,,,
80, 18-04-2020 17:10:32,45,32,60.07,888.31,800,60,17.188,3190.18,3307,320.4,0,,,68.36,,,,1224,102,,,,,,,,,
80, 18-04-2020 17:10:33,45,30,60.07,888.31,800,62,19.727,3190.18,3306,315.3,0,,,69.13,,,,1236,103,,,,,,,,,
80, 18-04-2020 17:10:34,45,32,60.07,888.31,800,63,18.75,3289.84,3299,317.2,0,,,69.78,,,,1248,104,,,,,,,,,
80, 18-04-2020 17:10:35,45,29,60.07,888.31,800,59,18.223,3289.84,3304,312.5,0,,,69.78,,,,1260,105,,,,,,,,,
80, 18-04-2020 17:10:36,45,30,60.07,888.31,800,63,20.313,3289.841,3298,317.2,0,,,70.55,,,,1272,106,,,,,,,,,
80, 18-04-2020 17:10:37,45,29,60.07,888.31,800,64,19.141,3289.841,3301,302.7,0,,,71.2,,,,1284,107,,,,,,,,,
80, 18-04-2020 17:10:38,45,28,60.07,888.31,800,62,18.164,3289.84,3303,309.1,0,,,71.2,,,,1296,108,,,,,,,,,
80, 18-04-2020 17:10:39,45,29,60.07,888.31,800,59,17.773,3289.84,3309,310.1,0,,,71.97,,,,1308,109,,,,,,,,,
80, 18-04-2020 17:10:40,45,29,60.07,888.31,800,63,20.898,3090.457,3301,298.3,0,,,72.75,,,,1320,110,,,,,,,,,
80, 18-04-2020 17:10:41,45,29,60.07,888.31,800,61,17.969,3190.149,3301,304.3,0,,,73.4,,,,1332,111,,,,,,,,,
80, 18-04-2020 17:10:42,45,28,60.07,888.31,800,63,17.773,3289.841,3301,304.7,0,,,73.4,,,,1344,112,,,,,,,,,
80, 18-04-2020 17:10:43,45,29,60.07,888.31,800,59,18.75,3289.841,3311,301.5,0,,,74.18,,,,1356,113,,,,,,,,,
80, 18-04-2020 17:10:44,45,28,60.07,888.31,800,63,18.555,3190.149,3315,295.9,0,,,74.95,,,,1368,114,,,,,,,,,
80, 18-04-2020 17:10:45,45,29,60.07,888.31,800,63,18.555,3289.841,3317,295.2,0,,,75.72,,,,1380,115,,,,,,,,,
80, 18-04-2020 17:10:46,45,29,60.07,888.31,800,62,19.727,3289.841,3317,292.5,0,,,75.72,,,,1392,116,,,,,,,,,
80, 18-04-2020 17:10:47,45,29,60.07,888.31,800,63,18.164,3289.841,3317,293,0,,,76.5,,,,1404,117,,,,,,,,,
80, 18-04-2020 17:10:48,45,30,60.07,888.31,800,63,20.117,1395.69,3308,281.6,0,,,77.27,,,,1416,118,,,,,,,,,
80, 18-04-2020 17:10:49,45,29,60.07,888.31,800,62,18.164,3190.118,3307,289.3,0,,,77.27,,,,1428,119,,,,,,,,,
80, 18-04-2020 17:10:50,45,28,60.07,888.31,800,58,18.945,3289.809,3307,289.1,0,,,78.18,,,,1440,120,,,,,,,,,
80, 18-04-2020 17:10:51,45,29,60.07,888.31,800,63,16.992,3190.177,3311,282.1,0,,,78.95,,,,1452,121,,,,,,,,,
80, 18-04-2020 17:10:52,45,28,60.07,888.31,800,62,18.359,3289.87,3312,280.2,0,,,79.73,,,,1464,122,,,,,,,,,
80, 18-04-2020 17:10:53,45,27,60.07,888.31,800,59,19.727,3289.841,3314,285.8,0,,,79.73,,,,1476,123,,,,,,,,,
80, 18-04-2020 17:10:54,45,29,59.57,888.31,800,59,19.336,3190.149,3317,281.9,0,,,80.63,,,,1488,124,,,,,,,,,
80, 18-04-2020 17:10:55,45,28,59.57,888.31,800,63,18.164,3289.841,3309,281,0,,,81.4,,,,1500,125,,,,,,,,,
80, 18-04-2020 17:10:56,45,28,59.57,888.31,800,61,18.164,3289.841,3316,278.3,0,,,82.31,,,,1512,126,,,,,,,,,
80, 18-04-2020 17:10:57,45,28,59.57,888.31,800,63,17.578,3190.149,3319,279.9,0,,,82.31,,,,1524,127,,,,,,,,,
80, 18-04-2020 17:10:58,45,28,59.57,888.31,800,60,17.578,3289.841,3324,279,0,,,83.08,,,,1536,128,,,,,,,,,
80, 18-04-2020 17:10:59,45,28,59.57,888.31,800,62,18.164,3090.456,3325,273.9,0,,,83.99,,,,1548,129,,,,,,,,,
80, 18-04-2020 17:11:00,45,28,59.57,888.31,800,61,18.555,3190.148,3323,269.2,0,,,83.99,,,,1560,130,,,,,,,,,
80, 18-04-2020 17:11:01,45,28,59.57,888.31,800,64,19.531,3289.841,3322,273.9,0,,,84.9,,,,1572,131,,,,,,,,,
80, 18-04-2020 17:11:02,45,28,59.57,888.31,800,62,21.289,3190.149,3310,269.1,0,,,85.8,,,,1584,132,,,,,,,,,
80, 18-04-2020 17:11:03,45,27,59.57,888.31,800,64,19.336,3289.841,3310,265.2,0,,,86.7,,,,1596,133,,,,,,,,,
80, 18-04-2020 17:11:04,45,27,59.57,888.31,800,63,19.336,3289.841,3310,267.4,0,,,86.7,,,,1608,134,,,,,,,,,
80, 18-04-2020 17:11:05,45,27,59.57,888.31,800,63,18.359,3190.149,3310,267.8,0,,,87.61,,,,1620,135,,,,,,,,,
80, 18-04-2020 17:11:06,45,28,59.57,888.31,800,62,17.969,3289.841,3318,268.6,0,,,88.52,,,,1632,136,,,,,,,,,
80, 18-04-2020 17:11:07,45,27,59.57,888.31,800,65,18.492,3289.813,3312,264,0,,,89.42,,,,1644,137,,,,,,,,,
80, 18-04-2020 17:11:08,45,25,59.57,888.31,800,65,18.164,3190.201,3312,264.7,0,,,89.42,,,,1656,138,,,,,,,,,
80, 18-04-2020 17:11:09,45,28,59.57,888.31,800,61,17.969,3190.201,3319,260.6,0,,,90.32,,,,1668,139,,,,,,,,,
80, 18-04-2020 17:11:10,45,27,59.57,888.31,800,60,17.578,3289.841,3326,260.4,0,,,91.23,,,,1680,140,,,,,,,,,
80, 18-04-2020 17:11:11,45,26,59.57,888.31,800,63,18.359,3090.457,3326,259.5,0,,,91.23,,,,1692,141,,,,,,,,,
80, 18-04-2020 17:11:12,46,25,59.57,888.31,800,63,19.336,3190.148,3328,262.5,0,,,92.26,,,,1704,142,,,,,,,,,
80, 18-04-2020 17:11:13,45,25,59.57,888.31,800,63,21.289,3289.839,3329,255.3,0,,,93.17,,,,1716,143,,,,,,,,,
80, 18-04-2020 17:11:14,45,25,59.57,888.31,800,64,24.609,3190.146,3323,242,0,,,94.2,,,,1728,144,,,,,,,,,
